Unnamed: 0,price,mileage,year,previous_owners,doors,seats,fuel_type_Diesel Hybrid,fuel_type_Electric,fuel_type_Petrol,fuel_type_Petrol Hybrid,fuel_type_Petrol Plug-in Hybrid,body_type_Convertible,body_type_Coupe,body_type_Estate,body_type_Hatchback,body_type_MPV,body_type_Minibus,body_type_Pickup,body_type_SUV,body_type_Saloon,gearbox_Manual
0,6900,70189,2016,3.0,5.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,1495,88585,2008,4.0,3.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2,949,137000,2011,2.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
3,2395,96731,2010,5.0,3.0,4.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
4,1000,85000,2013,2.0,5.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
5,800,124196,2007,3.0,3.0,4.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
6,798,140599,2008,2.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
7,1995,90000,2009,2.0,3.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
8,750,225318,1989,2.0,5.0,5.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
9,1299,87000,2008,5.0,5.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
10,1495,181693,2009,2.0,3.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
11,2950,79000,2011,4.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
12,6900,70189,2016,3.0,5.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
14,19800,69690,2019,1.0,4.0,5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
15,1100,164985,2008,2.0,3.0,4.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
16,1295,109000,2007,2.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
17,999,111400,2007,2.0,5.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
18,1289,135000,2010,2.0,5.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
19,1200,134000,2004,5.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
20,1949,114000,2013,2.0,5.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
21,1195,101000,2010,3.0,5.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
22,14498,53055,2019,2.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
23,1995,89000,2007,2.0,2.0,4.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
24,990,69000,2003,3.0,3.0,4.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
25,2950,79000,2011,4.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
26,15900,62402,2019,1.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
28,8975,86500,2017,2.0,5.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
29,3399,55000,2011,2.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
30,1990,150000,2007,2.0,5.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
31,1200,95000,2009,3.0,5.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
32,1490,135800,2008,3.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
33,2250,98000,2006,2.0,2.0,4.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
34,2800,106305,2011,4.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
35,2490,86000,2011,3.0,2.0,4.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
36,1695,75786,2008,3.0,3.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
37,1795,99905,2010,5.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
38,2500,95000,2011,2.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
39,2495,149000,2010,1.0,5.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
40,15900,62402,2019,1.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
42,10698,22782,2020,2.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
43,1795,63796,2008,2.0,3.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
44,1250,178000,2007,4.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
45,988,113218,2005,2.0,3.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
46,1995,88000,2008,2.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
47,1999,122000,2009,3.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
48,1449,57000,1999,2.0,4.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
49,1290,119000,2002,4.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
50,1449,111400,2008,4.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
51,3295,94000,2014,2.0,3.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
52,1400,155085,2004,2.0,5.0,5.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
53,1950,93000,2012,4.0,3.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
54,10698,22782,2020,2.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
56,19800,69690,2019,1.0,4.0,5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
57,2249,99000,2009,2.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
58,1390,127000,2008,2.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
59,1795,104020,2010,4.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
60,1699,92000,2009,3.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
61,999,99000,2004,2.0,3.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
62,700,101000,2003,5.0,2.0,4.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
